skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
MON_Blizzard	409				28													monblizzardcenter	monblizzardcenter	monblizzardcenter																																																																										sorceress_cast_cold											ice_cast_3				28						monblizzardcenter												1	7		none												SC	SC	xx					4				1											1							sorceress_cast_cold	ice_cast_3		1													45		0	0									1	0										par1	Radius for Area of Effect	par3	Missile Spawn Rate									7	Radius for Area of Effect			4	Missile Spawn Rate									5	Damage synergy									1								8															cold	45	15	30	45	55	65	75	16	31	46	56	66		100							0	0	0
CTC_FrostNova	410		frost nova		22													ctcfrostnova	ctcfrostnova	ctcfrostnova																																																																										sorceress_cast_cold											ice_cast_2				25						ctcfrostnova				0	Missile Velocity Adder							1	6		none												SC	SC	SC																				36	10						sorceress_cast_cold			1															0	0									1	0										0	Missile Velocity Adder																									10	Damage synergy									1								7															cold	4	4	6	8	10	12	8	5	7	9	11	13		200	25	25	25				0	0	0
CTC_ChainLightning	411		chain lightning		26													ctcchainlightning	ctcchainlightning	ctcchainlightning							par1																																																																			sorceress_cast_lightning											light_cast_1				27						ctcchainlightning	ctcchainlightning	ctcchainlightning										1	2		none												SQ	SC	SC	12			1																151	96						sorceress_cast_lightning			1															0	0									1	0										ln34/par5	# of target jump hits											20	Radius of jump to next target			26	# of target jump hits baseline	1	# of target jump hits per level	5	"Every # levels, increase target jump"					4	Damage synergy									1								8															ltng	1	0	0	0	0	0	40	11	13	15	15	15									0	0	0
CTC_Blaze	412		blaze		23													ctcblaze	ctcblaze	ctcblaze				blaze		dm12																							item_fastermovevelocity	ln56	item_attackertakesfiredamage	ln34																																										sorceress_cast_fire											fire_cast_2									ctcblaze	firewall	firesmall	firemedium										1	3		none												SC	SC	xx																				1										1															1	1					1	7	22	1	1	1																						50	Buff Duration Min	500	Buff Duration Max	10	Fire Thorn Baseline	3	Fire Thorns Per Level	10	Faster Run/Walk Baseline	5	Faster Run/Walk Per Level	1	Damage synergy	4	Damage synergy									1								4															fire	4	2	3	4	6	9	8	2	3	4	6	9									0	0	0
CTC_Nova	413		nova		22													ctcnova	ctcnova	ctcnova																																																																										sorceress_cast_lightning											light_cast_1				25						ctcnova				0	Missile Velocity Adder							1	2		none												SC	SC	xx																				36	10						sorceress_cast_lightning			1															1	1					1	8	15	1	1	1										0	Missile Velocity Adder					0	Stun Duration					25	Stun Duration Baseline	25	Stun Duration Per Level											10	Damage Synergy									1								8															ltng	1	6	7	8	9	10	20	8	9	10	11	12									0	0	0
CTC_Lightning	414		lightning		18										ctclightningbolt									lightningrod		ln34		item_attackertakeslightdamage	"min(ln12,20)"	item_absorblight_percent	"min(ln56,25)"	maxlightresist	15																																																													sorceress_cast_lightning											light_cast_1									ctclightningbolt													1	6		none												SQ	SC	xx	12			1																1							sorceress_cast_lightning			1															1	1					1	7	16	1	1	1																						3	Lightning Thorns	2	Thorns Per Level	50	Buff Duration	5	Buffer Duration per level	3	Light Abosrb	2	Light Absorb per level			8	Damage synergy									1								8															ltng	1	0	0	0	0	0	40	8	12	20	28	36									0	0	0
CTC_FireBolt	415		fire bolt												ctcfirebolt																																																																															sorceress_cast_fire											fire_cast_1									ctcfirebolt													1	2		none												SC	SC	xx																				1							sorceress_cast_fire			1															1	1					1	7	5	0	1	1																																				16	Damage synergy									1								7															fire	6	3	4	8	18	54	12	3	6	10	20	56									0	0	0
CTC_ChargedBolt	416		charged bolt		17													ctcchargedbolt	ctcchargedbolt	ctcchargedbolt																																																																										sorceress_cast_lightning											light_cast_1				23						ctcchargedbolt												1	1		none												SC	SC	xx																				1							sorceress_cast_lightning			1															1	1					1	5	24	4	1	1										"min(24,ln12)"	# of Bolt Missiles created											3	# of Bolt Missiles created baseline	1	# of Bolt Missiles created per level											6	Damage synergy									1								7															ltng	4	1	1	2	3	4	8	1	1	2	3	4									0	0	0
CTC_MoltenBoulder	417		molten boulder												ctcmoltenboulderemerge												par1																																																																			druid_firecast_b											druid_fire_cast_1									ctcmoltenboulderemerge													1	0		none												SC	SC	xx				1																1							druid_firecast_b	druid_fire_cast_1		1													50		1	1					1	7	20	1	1	1																						7	Explosion Radius											10	Physical Damage synergy	8	Fire Damage synergy									1								8		16	14	17	20	23	26	22	15	18	21	24	27		fire	16	14	17	20	23	26	22	15	18	21	24	27									0	0	0
CTC_IceBolt	418		ice bolt		8													ctcicebolt																																																																												sorceress_cast_cold											ice_cast_1			19	17						ctcicebolt	ctcicebolt	bonecast										1	1		none												SC	SC	xx																				1							sorceress_cast_cold			1															1	1					1	8	3	0	1	1										((lvl<5)?1:((lvl<10)?3:5))+stat('ex_missiles'.accr)	# of Missiles created	par3	Missile Activation Frame	1	# of missiles that can trigger item modifier events											0	Missile Activation Frame									15	Damage synergy									1								7															cold	6	3	5	6	8	10	10	5	6	7	9	11		200	60	60	40	stat('skill_chillsyn'.accr)			0	0	0
CTC_FireBall	419		fire ball												ctcfireball																																																																															sorceress_cast_fire											fire_cast_2									ctcfireball													1	5		none												SC	SC	xx																				1							sorceress_cast_fire			1															1	1					1	7	10	1	1	1										par1	Explosion Radius											5	Explosion Radius													14	Damage synergy									1								7															fire	12	13	23	28	33	38	28	15	25	30	35	40									0	0	0
CTC_IceBlast	420		ice blast												ctciceblast																																																																															sorceress_cast_cold											ice_cast_1									ctciceblast													1	6		none												SC	SC	xx																				1							sorceress_cast_cold			1															1	1					1	7	12	1	1	1																						75	Freeze Length baseline	5	Freeze Length per level									10	Freeze Length synergy	8	Damage synergy									1								7															cold	16	14	28	42	56	70	24	15	29	43	57	71		75	5	5	5				0	0	0
